Id Arbeidssted;Forvalt.location.coordinates.XCoordinate;Forvalt.location.coordinates.YCoordinate;ArbeidsstedOgTariffavtale.ID Tariffavtale
50321072;5,34278884;60,36589176;50321072 210100 - Virke Landsoverenskomsten
50320921;10,46200988;59,40132575;50320921 210100 - Virke Landsoverenskomsten
50317985;10,3978497;63,43206359;50317985 215100 - Virke Reiselivsbransjen
50318344;10,70196372;59,44264461;50318344 210100 - Virke Landsoverenskomsten
50317554;29,75163394;70,07258952;50317554 210100 - Virke Landsoverenskomsten
50321497;6,072941235;58,58368434;50321497 210100 - Virke Landsoverenskomsten
50321692;11,4910813;64,46760372;50321692 210100 - Virke Landsoverenskomsten
50321705;14,14877986;66,31756484;50321705 210100 - Virke Landsoverenskomsten
50322685;6,29210963;58,3428507;50322685 213100 - Virke Bok og Papiravtalen
50322572;5,72978122;58,88981704;50322572 210100 - Virke Landsoverenskomsten
50322469;5,32441949;60,46568423;50322469 210100 - Virke Landsoverenskomsten
50311648;12,26125241;61,31541416;50311648 210100 - Virke Landsoverenskomsten
50311906;10,92320474;63,46911159;50311906 215100 - Virke Reiselivsbransjen
50311149;5,30314801;60,38402107;50311149 216200 - PU Virke Energistasjonsoverenskomsten
50312544;11,07754218;60,79189624;50312544 210100 - Virke Landsoverenskomsten
50309520;10,22621076;59,1301973;50309520 210100 - Virke Landsoverenskomsten
50309098;15,41588865;68,69401433;50309098 210100 - Virke Landsoverenskomsten
50315812;7,1558756;62,73496723;50315812 215100 - Virke Reiselivsbransjen
50316424;5,418468975;62,19749633;50316424 210100 - Virke Landsoverenskomsten
50316406;10,28322982;63,0479823;50316406 210100 - Virke Landsoverenskomsten
50316206;7,74196386;63,12138415;50316206 210100 - Virke Landsoverenskomsten
50316266;11,48612749;64,02337103;50316266 210100 - Virke Landsoverenskomsten
50316150;6,15708825;62,47299217;50316150 210200 - PU Virke Landsoverenskomsten
50316580;11,22131331;64,30850064;50316580 210100 - Virke Landsoverenskomsten
50313231;10,5622412;59,90937281;50313231 210100 - Virke Landsoverenskomsten
50314740;5,72653016;58,94249865;50314740 210100 - Virke Landsoverenskomsten
50314111;10,13998476;61,53043417;50314111 210100 - Virke Landsoverenskomsten
50352875;23,66685544;70,67331758;50352875 210100 - Virke Landsoverenskomsten
50327076;8,56869434;61,8372732;50327076 210100 - Virke Landsoverenskomsten
50349663;10,22542297;63,95836348;50349663 130100 - NHO/NHO Service og Handel Handelsoverenskomsten
50340681;10,33825315;59,28683046;50340681 210100 - Virke Landsoverenskomsten
50349180;10,20669783;59,7344756;50349180 210100 - Virke Landsoverenskomsten
50348590;10,70323988;59,4462476;50348590 210200 - PU Virke Landsoverenskomsten
50346553;10,25527336;60,15292938;50346553 210100 - Virke Landsoverenskomsten
50328528;10,775387;59,9468424;50328528 210100 - Virke Landsoverenskomsten
60000433;11,17419776;60,28111772;60000433 210100 - Virke Landsoverenskomsten
50308069;11,04873239;59,95602645;50308069 213100 - Virke Bok og Papiravtalen
60006831;14,42265404;67,27764958;60006831 210100 - Virke Landsoverenskomsten
50303307;5,84960481;58,76782648;50303307 210100 - Virke Landsoverenskomsten
